epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,7.18385,0.89556,0.01111,1,3.11035,0.00022864,0.00022864,0.00022864
2,13.6266,0.11785,0.01111,1,7.85742,0.000462233,0.000462233,0.000462233
3,19.2733,0.0654,0.01111,1,8.70312,0.000686206,0.000686206,0.000686206
4,24.5628,0.05282,0.01111,1,9.1875,0.000900559,0.000900559,0.000900559
5,29.8796,0.06902,0.01111,1,8.21484,0.00110529,0.00110529,0.00110529
6,35.3249,0.05097,0.01111,1,9.05469,0.00128753,0.00128753,0.00128753
7,40.5966,0.04533,0.01111,1,7.26367,0.00125923,0.00125923,0.00125923
8,46.04,0.05998,0.01111,1,8.06836,0.00123094,0.00123094,0.00123094
9,51.5313,0.04912,0.01111,1,8.05664,0.00120265,0.00120265,0.00120265
10,56.9396,0.04772,0.01111,1,8.24609,0.00117435,0.00117435,0.00117435
11,62.1731,0.05634,0.01111,1,10.2227,0.00114606,0.00114606,0.00114606
12,67.5332,0.03813,0.01111,1,9.60547,0.00111776,0.00111776,0.00111776
13,72.8787,0.04594,0.01111,1,9.87109,0.00108947,0.00108947,0.00108947
14,77.9947,0.03211,0.01111,1,9.44141,0.00106118,0.00106118,0.00106118
15,83.3875,0.03898,0.01111,1,9.92188,0.00103288,0.00103288,0.00103288
16,88.9043,0.03107,0.01111,1,9.99219,0.00100459,0.00100459,0.00100459
17,94.2478,0.03763,0.01111,1,10.0117,0.000976293,0.000976293,0.000976293
18,99.7558,0.02982,0.01111,1,10.2539,0.000947999,0.000947999,0.000947999
19,105.157,0.03194,0.01111,1,10.4688,0.000919704,0.000919704,0.000919704
20,110.614,0.03315,0.01111,1,10.7695,0.00089141,0.00089141,0.00089141
21,116.018,0.03712,0.01111,1,9.60938,0.000863116,0.000863116,0.000863116
22,121.67,0.02189,0.01111,1,9.55469,0.000834822,0.000834822,0.000834822
23,126.818,0.04285,0.01111,1,9.76172,0.000806528,0.000806528,0.000806528
24,132.031,0.04957,0.01111,1,9.91797,0.000778233,0.000778233,0.000778233
25,137.169,0.03023,0.01111,1,9.64844,0.000749939,0.000749939,0.000749939
26,142.614,0.02423,0.01111,1,9.58984,0.000721645,0.000721645,0.000721645
27,147.67,0.03406,0.01111,1,9.81641,0.000693351,0.000693351,0.000693351
28,152.682,0.02816,0.01111,1,10.3828,0.000665057,0.000665057,0.000665057
29,157.788,0.02284,0.01111,1,10.3516,0.000636762,0.000636762,0.000636762
30,162.898,0.03038,0.01111,1,10.5391,0.000608468,0.000608468,0.000608468
31,168.072,0.03284,0.01111,1,10.5508,0.000580174,0.000580174,0.000580174
32,173.174,0.02451,0.01111,1,10.7109,0.00055188,0.00055188,0.00055188
33,178.346,0.02028,0.01111,1,10.9102,0.000523586,0.000523586,0.000523586
34,183.679,0.02886,0.01111,1,10.8633,0.000495291,0.000495291,0.000495291
35,188.782,0.0351,0.01111,1,10.8203,0.000466997,0.000466997,0.000466997
36,193.831,0.03164,0.01111,1,10.5781,0.000438703,0.000438703,0.000438703
37,198.964,0.03006,0.01111,1,10.6172,0.000410409,0.000410409,0.000410409
38,204.335,0.02546,0.01111,1,10.8672,0.000382115,0.000382115,0.000382115
39,209.538,0.02544,0.01111,1,10.793,0.00035382,0.00035382,0.00035382
40,214.53,0.02712,0.01111,1,10.7109,0.000325526,0.000325526,0.000325526
41,219.699,0.02506,0.01111,1,10.4219,0.000297232,0.000297232,0.000297232
42,224.666,0.02321,0.01111,1,10.8633,0.000268938,0.000268938,0.000268938
43,230.025,0.02841,0.01111,1,10.5742,0.000240644,0.000240644,0.000240644
44,235.43,0.02726,0.01111,1,10.7578,0.000212349,0.000212349,0.000212349
45,240.39,0.02521,0.01111,1,10.7852,0.000184055,0.000184055,0.000184055
46,245.5,0.02858,0.01111,1,10.8906,0.000155761,0.000155761,0.000155761
47,250.541,0.02112,0.01111,1,10.9219,0.000127467,0.000127467,0.000127467
48,255.646,0.02391,0.01111,1,10.9609,9.91726e-05,9.91726e-05,9.91726e-05
49,260.686,0.02623,0.01111,1,10.9766,7.08784e-05,7.08784e-05,7.08784e-05
50,265.632,0.02419,0.01111,1,10.9961,4.25842e-05,4.25842e-05,4.25842e-05
