epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,173.274,2.22551,4.35337,2.04328,0.28927,0.09364,0.04148,0.01287,2.41866,4.37005,2.44441,0.000554227,0.000554227,0.000554227
2,346.147,2.25041,3.29228,2.08551,0.19802,0.17348,0.08682,0.02567,2.46679,3.44177,2.34792,0.00108792,0.00108792,0.00108792
3,517.772,2.27921,3.151,2.07273,0.19466,0.17266,0.09874,0.03312,2.3036,3.21266,2.2018,0.0015996,0.0015996,0.0015996
4,713.061,2.21971,2.97527,2.02584,0.21725,0.19166,0.10676,0.03595,2.32772,3.03724,2.23429,0.00156798,0.00156798,0.00156798
5,920.674,2.18197,2.89385,2.00454,0.25279,0.1956,0.13231,0.04487,2.24502,3.08006,2.15494,0.00153497,0.00153497,0.00153497
6,1127.96,2.1462,2.80731,1.97304,0.20049,0.22055,0.13597,0.04674,2.18969,2.92128,2.07271,0.00150197,0.00150197,0.00150197
7,1334.21,2.10909,2.70607,1.92094,0.25102,0.26713,0.16754,0.06021,2.21277,2.79257,2.08034,0.00146896,0.00146896,0.00146896
8,1535.24,2.10037,2.68555,1.92114,0.28935,0.22681,0.16861,0.05816,2.16424,2.85413,2.06725,0.00143595,0.00143595,0.00143595
9,1740.37,2.08854,2.64724,1.91021,0.31843,0.2513,0.2077,0.08145,2.11597,2.59412,2.03277,0.00140295,0.00140295,0.00140295
10,1941.09,2.05909,2.58667,1.87306,0.26293,0.23506,0.18433,0.06731,2.13869,2.81332,2.0878,0.00136994,0.00136994,0.00136994
11,2115.75,2.04339,2.56721,1.8542,0.3353,0.27512,0.24572,0.09255,2.1047,2.64908,1.99792,0.00133693,0.00133693,0.00133693
12,2283.64,2.01862,2.50601,1.82608,0.33823,0.25055,0.24664,0.09829,2.10908,2.51868,2.00877,0.00130393,0.00130393,0.00130393
13,2451.61,2.02023,2.50953,1.82729,0.35423,0.28965,0.26368,0.10202,2.08581,2.51742,1.98859,0.00127092,0.00127092,0.00127092
14,2620.55,1.98667,2.49125,1.81258,0.3399,0.29103,0.24608,0.09167,2.09294,2.63997,1.99216,0.00123791,0.00123791,0.00123791
15,2791.19,1.99117,2.45455,1.81536,0.36619,0.29272,0.26536,0.10345,2.063,2.47791,1.96998,0.00120491,0.00120491,0.00120491
16,2961.02,1.97441,2.44604,1.80107,0.40448,0.29571,0.28013,0.10808,2.08136,2.51699,2.01166,0.0011719,0.0011719,0.0011719
17,3130.99,1.97749,2.40876,1.7973,0.40859,0.30869,0.29959,0.11936,2.08354,2.439,2.01363,0.00113889,0.00113889,0.00113889
18,3300.93,1.97134,2.4383,1.79649,0.37424,0.30689,0.27974,0.10818,2.0714,2.4545,1.98733,0.00110589,0.00110589,0.00110589
19,3471.62,1.94643,2.38214,1.77829,0.40077,0.33763,0.30572,0.11735,2.08045,2.4364,2.0012,0.00107288,0.00107288,0.00107288
20,3642.1,1.9468,2.35447,1.77577,0.38353,0.2983,0.28082,0.11264,2.07525,2.47121,1.94894,0.00103987,0.00103987,0.00103987
21,3812.33,1.90932,2.32312,1.75184,0.43574,0.31578,0.31732,0.12637,2.04084,2.29458,1.96661,0.00100687,0.00100687,0.00100687
